MANUFACTURER,BRAND,ITEM,ITEM_DESCRIPTION,CATEGORY,FORMAT,ATTR1,ATTR2,ATTR3
JABONERA LA ESPUMA,BANDERA,7501681100766,BANDERA CLORHADA CLORO CONCENTRADO SIN AROMA BOT 3.8LT 7501681100766,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
JABONERA LA ESPUMA,BANDERA,7501681100773,BANDERA CLORHADA CONCENTRADO BOT. PLAS 2000 ML NAL 7501681100773,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
JABONERA LA ESPUMA,BANDERA,7501681100810,BANDERA CLORHADA AROMA NAVIDENO BOT PLAS 5 LT 7501681100810,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
JABONERA LA ESPUMA,BANDERA,7501681101084,BANDERA CLORHADA BLAN REGULAR LIQUIDO BOTELLA 5000ML NAL 7501681101084,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
JABONERA LA ESPUMA,BCLORHADA,7501681101299,BCLORHADA CLORO GEL+DETERG AROMATERAPIA MAGIA NAVIDENA BP1LT 7501681101299,1,GEL,CLORO,CLORO,MULTIUSOS
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,7502217411776,KLEEN CLORO BOTELLA 1000 ML NAL 7502217411776,1,LIQUIDO,,CLORO,
CLOROX,CLOROX,7502240947471BP4,CLOROXCLOROREG930M+MMTLTBWL709M+MMFIBESP1P+MMFIBVDE1P/GMMCAN 7502240947471BP4,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
CLOROX,CLOROX,7502240947488BP4,CLOROXCLORREG930M+MMCLEANUPAT946+MMFIBESP1+MMFIBVDE1/GMMCANS 7502240947488BP4,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,7502267450312,STORM DESINFECTANTE Y BLANCURA BOTE DE 3.785 7502267450312,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
CHURCH & DWIGHT,OXI CLEAN,7502271940007,OXICLEAN QUITAM VERSATIL PREC/ESP ENV.PLAS 2 420GRC/U=840GR 7502271940007,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS
DELTA PRONATURA,DR.BECKMANN,7502275145897,DR BECKMANN OXI MAGIC PLUS QUITAMANCHAS BOTE 1KG 7502275145897,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,7502283280818,EXGERM DESINFECTANTE DE ROPA BOTELLA 1 LT 7502283280818,1,LIQUIDO,SANITIZANTE,SANITIZANTE,SANITIZANTE
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,7503000256017,CLOROMAX BOT.PLAS 1000ML 7503000256017,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
RECKITT,VANISH,7503002319529,VANISH LIQUIDO BOTELLA 925ML  NAL. 7503002319529,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,ROSA
RECKITT,VANISH,7503002319536,VANISH LIQ. BOTELLA 1750ML NAL. 7503002319536,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,ROSA
RECKITT,VANISH,7503002319543,VANISH REMOVEDOR DE MANCHAS BOTELLA 450ML  NAL. 7503002319543,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,ROSA
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,7503018718675,CRATER CLEAN CLORO BOT PLAS 3790ML NAL 7503018718675,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,7503025939353,KUXTAL BIO BLANQUEADOR EN POLVO P/ROPA BOTE 500GR 7503025939353,1,POLVO,CLORO,CLORO,NO DEFINIDO
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,7503031116083,MAS CLORO BLANQUEADOR BOT 1.89LT 7503031116083,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,7503544040257,LA SILLA CLORO REGULAR GARRAFON 3.75 LT NAL 7503544040257,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
CLOROX,CLOROX,7702137007145,CLOROX ROPA COLORES ULTRA QUITAMANCHAS BOL 90GR 7702137007145,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,ROPA COLOR
CLOROX,CLOROX,7702137007152,CLOROX ROPA BLANCOS ULTRA QUITAMANCHAS BOL 450GR 7702137007152,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,BLANCO
CLOROX,CLOROX,7702137007169,CLOROX ROPA COLORES ULTRA QUITAMANCHAS BOL 450GR 7702137007169,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
CLOROX,CLOROX,7702137007176,CLOROX ROPA BLANCOS ULTRA QUITAMANCHAS BOL 900GR 7702137007176,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,BLANCO
CLOROX,CLOROX,7702137007183,CLOROX ROPA COLORES ULTRA QUITAMANCHAS BOL 900GR 7702137007183,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
RECKITT,VANISH,7702626204208BP1,VANISH PODER 02 INTELIGENCE SIN CLORO SOBRE 30 G IMP 7702626204208BP1,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,ROSA
RECKITT,VANISH,7702626213774,VANISH OXI ACTION ROSA QUITAMANCHAS DOYPACK 240 GR 7702626213774,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,ROSA
RECKITT,VANISH,7702626213781,VANISH OXI ACTION CRISTAL WHITE DOYPACK 240 GR 7702626213781,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,BLANCO
RECKITT,VANISH,7891035040191,VANISH QUITAMANCHAS PRELAVADOR BARRA 75GR 7891035040191,1,BARRA,SAFE BLEACH,FABRIC TREATMENT,ROSA
RECKITT,VANISH,7891035040276,VANISH SUPER BARRA WHITE QUITA MANCHAS 68GR 7891035040276,1,BARRA,SAFE BLEACH,FABRIC TREATMENT,BLANCO
IBERIA,IBERIA,8410907050053,IBERIA BLANCO NUCLEAR BLANQUEADOR REG CAJA 6SOB=120GR 8410907050053,1,POLVO,CLORO,CLORO,NO DEFINIDO
IBERIA,IBERIA,8411660040503,9IBERIA BLANQUEADOR POLVO 250 GR IMP 8411660040503,1,POLVO,,CLORO,
IBERIA,IBERIA,8411660210012,IBERIA REVOLUTION QUITA MANCHAS DIARIAS ROLL ON BOT 200 ML 8411660210012,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
IBERIA,IBERIA,8411660210029,IBERIA REVOLUTION QUITA MANCHAS RESISTENTES BOT PLAS 200ML 8411660210029,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
IBERIA,IBERIA,8411660210036,IBERIA REVOLUTION QUITA MANCHAS ACCIDENTALES BOT 150 ML 8411660210036,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
JABONERA LA ESPUMA,BCLORHADA,7501681101305BP1,BCLORHADA MASC DET DES C/CLOR1L+MM MASCHOGAR DET DESS/CLOR1L 7501681101305BP1,1,LIQUIDO,CLORO,CLORO,MASCOTAS
RECKITT,VANISH,7501058789778BP1,VANISH EXT HIGIENE REM MANCHAS GAL 4LT + VANISH WHITE 1LT 7501058789778BP1,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,ROSA
INDS. ALEN,CLORALEX,7501025412142,CLORALEX AROMAS BLANQUEADOR C/AROMA LAVANDA GARRAFA 10LTS 7501025412142,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
INDS. ALEN,CLORALEX,N/A,CLORALEX EL RENDIDOR BOT PLAST 2LT,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
CLOROX,CLOROX,N/A,CLOROX MASCOTAS BLANQUEADOR+DETERGENTE GALON 10L,1,LIQUIDO,CLORO,CLORO,MASCOTAS
CLOROX,CLOROX,7502240948188BP1,CLOROX BLANQ930M+MMBLANQINOD709M+MMFIBRAULTRA1P+MMCUBETA1P 7502240948188BP1,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
